season,player,runs,balls,fours,sixes,strike_rate
2018,SV Samson,441,325,30,19,135.69
2018,SW Billings,108,78,8,5,138.46
2018,Sandeep Sharma,0,4,0,0,0.0
2018,Shakib Al Hasan,239,203,26,5,117.73
2018,Shivam Mavi,13,15,1,0,86.67
2018,Shubman Gill,203,142,22,5,142.96
2018,TA Boult,0,2,0,0,0.0
2018,TG Southee,52,46,5,1,113.04
2018,TK Curran,23,28,3,0,82.14
2018,UT Yadav,3,12,0,0,25.0
2018,V Kohli,530,385,52,18,137.66
2018,V Shankar,212,156,11,11,135.9
2018,WP Saha,122,108,17,1,112.96
2018,Washington Sundar,65,40,5,4,162.5
2018,YK Pathan,260,211,22,11,123.22
2018,YS Chahal,0,4,0,0,0.0
2018,Yuvraj Singh,65,74,6,2,87.84
2019,A Mishra,21,26,2,0,80.77
2019,AB de Villiers,442,294,31,26,150.34
2019,AD Nath,61,58,5,2,105.17
2019,AD Russell,514,274,32,52,187.59
2019,AJ Turner,3,11,0,0,27.27
2019,AJ Tye,0,2,0,0,0.0
2019,AM Rahane,393,289,45,9,135.99
2019,AR Patel,110,90,10,3,122.22
2019,AS Joseph,15,13,2,0,115.38
2019,AT Rayudu,282,307,20,7,91.86
2019,Abhishek Sharma,9,10,1,0,90.0
2019,Avesh Khan,4,3,1,0,133.33
2019,B Kumar,12,19,1,0,63.16
2019,BA Stokes,123,100,8,4,123.0
2019,BB Sran,3,3,0,0,100.0
2019,BCJ Cutting,18,17,1,1,105.88
2019,Basil Thampi,1,1,0,0,100.0
2019,C Munro,84,72,9,4,116.67
2019,C de Grandhomme,46,50,4,2,92.0
2019,CA Ingram,184,157,20,5,117.2
2019,CA Lynn,405,296,41,22,136.82
2019,CH Gayle,490,338,45,34,144.97
2019,CH Morris,32,38,1,2,84.21
2019,CR Brathwaite,11,10,1,0,110.0
2019,DA Miller,213,174,19,7,122.41
2019,DA Warner,692,496,57,21,139.52
2019,DJ Bravo,80,68,6,3,117.65
2019,DJ Hooda,64,68,5,1,94.12
2019,DL Chahar,7,10,1,0,70.0
2019,DR Shorey,5,11,0,0,45.45
2019,DS Kulkarni,5,3,1,0,166.67
2019,E Lewis,48,53,4,2,90.57
2019,F du Plessis,396,326,36,15,121.47
2019,GC Viljoen,3,7,0,0,42.86
2019,GH Vihari,4,8,0,0,50.0
2019,Gurkeerat Singh,98,73,11,2,134.25
2019,H Klaasen,9,10,0,0,90.0
2019,HF Gurney,1,5,0,0,20.0
2019,HH Pandya,409,225,28,30,181.78
2019,HV Patel,0,3,0,0,0.0
2019,Harbhajan Singh,1,3,0,0,33.33
2019,Harpreet Brar,20,14,2,1,142.86
2019,I Sharma,10,3,1,1,333.33
2019,IS Sodhi,6,12,0,0,50.0
2019,Ishan Kishan,101,104,8,4,97.12
2019,J Suchith,6,15,0,0,40.0
2019,JC Archer,67,41,4,4,163.41
2019,JC Buttler,311,213,38,14,146.01
2019,JD Unadkat,1,3,0,0,33.33
2019,JJ Bumrah,0,1,0,0,0.0
2019,JL Denly,0,1,0,0,0.0
2019,JM Bairstow,445,292,48,18,152.4
2019,K Gowtham,18,19,1,1,94.74
2019,K Rabada,14,15,0,1,93.33
2019,KA Pollard,281,186,14,22,151.08
2019,KC Cariappa,9,3,0,1,300.0
2019,KD Karthik,254,180,22,14,141.11
2019,KH Pandya,183,158,18,5,115.82
2019,KK Ahmed,0,1,0,0,0.0
2019,KK Nair,5,6,0,0,83.33
2019,KL Rahul,593,447,49,25,132.66
2019,KM Jadhav,162,172,19,3,94.19
2019,KMA Paul,18,26,1,1,69.23
2019,KS Williamson,156,134,12,5,116.42
2019,Kuldeep Yadav,12,8,1,0,150.0
2019,LS Livingstone,70,48,6,5,145.83
2019,M Ashwin,3,5,0,0,60.0
2019,M Markande,6,5,1,0,120.0
2019,M Prasidh Krishna,0,2,0,0,0.0
2019,M Vijay,64,61,6,1,104.92
2019,MA Agarwal,332,241,26,14,137.76
2019,MJ Guptill,82,54,4,7,151.85
2019,MJ McClenaghan,11,16,2,0,68.75
2019,MJ Santner,32,25,0,3,128.0
2019,MK Lomror,8,3,2,0,266.67
2019,MK Pandey,345,268,34,6,128.73
2019,MM Ali,220,137,16,17,160.58
2019,MM Sharma,0,2,0,0,0.0
2019,MP Stoinis,211,159,14,10,132.7
2019,MS Dhoni,416,317,22,23,131.23
2019,Mandeep Singh,165,122,10,4,135.25
2019,Mohammad Nabi,121,81,8,8,149.38
2019,Mohammed Shami,1,2,0,0,50.0
2019,Mohammed Siraj,4,15,0,0,26.67
2019,Mujeeb Ur Rahman,0,4,0,0,0.0
2019,N Pooran,168,110,10,14,152.73
2019,N Rana,344,240,27,21,143.33
2019,NS Naik,7,17,1,0,41.18
2019,Navdeep Saini,2,4,0,0,50.0
2019,P Negi,9,12,1,0,75.0
2019,P Ray Barman,19,25,2,0,76.0
2019,P Simran Singh,16,18,1,1,88.89
2019,PA Patel,373,273,48,10,136.63
2019,PP Chawla,42,38,4,2,110.53
2019,PP Shaw,353,270,45,9,130.74
2019,Q de Kock,529,404,45,25,130.94
2019,R Ashwin,42,28,3,3,150.0
2019,R Parag,160,133,17,5,120.3
2019,R Tewatia,26,22,2,1,118.18
2019,RA Jadeja,106,94,7,4,112.77
2019,RA Tripathi,141,122,13,2,115.57
2019,RD Chahar,12,11,2,0,109.09
2019,RG Sharma,405,319,52,10,126.96
2019,RK Bhui,7,13,0,0,53.85
2019,RK Singh,37,34,1,2,108.82
2019,RR Pant,494,311,37,27,158.84
2019,RV Uthappa,284,256,28,10,110.94
2019,Rashid Khan,34,26,2,2,130.77
2019,Rasikh Salam,5,4,0,0,125.0
2019,S Dhawan,521,391,64,11,133.25
2019,S Dube,40,33,1,3,121.21
2019,S Gopal,63,46,8,1,136.96
2019,S Kaul,0,1,0,0,0.0
2019,S Lamichhane,0,1,0,0,0.0
2019,SA Yadav,424,327,45,10,129.66
2019,SD Lad,15,13,1,1,115.38
2019,SE Rutherford,73,55,2,7,132.73
2019,SK Raina,383,321,45,9,119.31
2019,SM Curran,95,55,13,3,172.73
2019,SN Khan,180,145,19,4,124.14
2019,SN Thakur,14,7,1,1,200.0
2019,SO Hetmyer,90,76,4,7,118.42
2019,SP Narine,143,90,17,9,158.89
2019,SPD Smith,319,283,30,4,112.72
2019,SR Watson,398,321,42,20,123.99
2019,SS Iyer,467,399,42,14,117.04
2019,STR Binny,70,42,5,4,166.67
2019,SV Samson,342,238,28,13,143.7
2019,SW Billings,0,5,0,0,0.0
2019,Sandeep Sharma,6,4,1,0,150.0
2019,Shakib Al Hasan,9,11,0,0,81.82
2019,Shubman Gill,296,242,21,10,122.31
2019,TA Boult,7,4,0,1,175.0
2019,TG Southee,9,9,0,0,100.0
2019,UT Yadav,25,26,3,1,96.15
2019,V Kohli,464,332,46,13,139.76
2019,V Shankar,244,196,11,12,124.49
2019,VR Aaron,3,7,0,0,42.86
2019,WP Saha,86,55,13,1,156.36
2019,Washington Sundar,1,4,0,0,25.0
2019,Y Prithvi Raj,0,1,0,0,0.0
2019,YK Pathan,40,47,1,1,85.11
2019,YS Chahal,6,16,0,0,37.5
2019,Yuvraj Singh,98,83,7,6,118.07
2020/21,A Nortje,7,6,0,0,116.67
2020/21,AB de Villiers,460,296,34,23,155.41
2020/21,AD Russell,117,82,9,9,142.68
2020/21,AJ Finch,268,254,28,8,105.51
2020/21,AJ Tye,6,7,0,1,85.71
2020/21,AM Rahane,113,113,12,2,100.0
2020/21,AR Patel,117,90,6,8,130.0
2020/21,AS Rajpoot,9,10,0,1,90.0
2020/21,AT Carey,32,29,0,1,110.34
2020/21,AT Rayudu,359,289,30,12,124.22
2020/21,Abdul Samad,113,68,8,6,166.18
2020/21,Abhishek Sharma,71,59,6,3,120.34
2020/21,Arshdeep Singh,0,3,0,0,0.0
2020/21,B Kumar,0,2,0,0,0.0
2020/21,BA Stokes,285,207,36,7,137.68
2020/21,CH Gayle,295,225,15,24,131.11
2020/21,CH Morris,34,21,2,3,161.9
2020/21,CJ Jordan,29,33,2,0,87.88
2020/21,CV Varun,10,16,0,0,62.5
2020/21,D Padikkal,473,398,51,8,118.84
2020/21,DA Warner,548,423,52,14,129.55
2020/21,DJ Bravo,7,6,0,0,116.67
2020/21,DJ Hooda,102,74,5,5,137.84
2020/21,DL Chahar,7,12,0,0,58.33
2020/21,DR Sams,0,2,0,0,0.0
2020/21,DS Kulkarni,3,2,0,0,150.0
2020/21,DW Steyn,1,2,0,0,50.0
2020/21,EJG Morgan,419,314,32,24,133.44
2020/21,F du Plessis,449,329,42,14,136.47
2020/21,GJ Maxwell,108,112,9,0,96.43
2020/21,Gurkeerat Singh,71,83,8,0,85.54
2020/21,HH Pandya,283,167,14,25,169.46
2020/21,HV Patel,21,25,2,0,84.0
2020/21,I Udana,15,11,1,1,136.36
2020/21,Imran Tahir,13,10,2,0,130.0
2020/21,Ishan Kishan,516,361,36,30,142.94
2020/21,JC Archer,113,66,5,10,171.21
2020/21,JC Buttler,328,233,27,16,140.77
2020/21,JD Unadkat,9,13,0,0,69.23
2020/21,JDS Neesham,19,18,0,1,105.56
2020/21,JJ Bumrah,5,3,0,0,166.67
2020/21,JL Pattinson,15,13,2,0,115.38
2020/21,JM Bairstow,345,284,31,13,121.48
2020/21,JO Holder,66,54,5,3,122.22
2020/21,JR Philippe,78,80,9,1,97.5
2020/21,K Gowtham,42,27,3,2,155.56
2020/21,K Rabada,56,52,4,2,107.69
2020/21,KA Pollard,281,157,17,22,178.98
2020/21,KD Karthik,169,137,20,4,123.36
2020/21,KH Pandya,109,92,9,5,118.48
2020/21,KK Ahmed,0,2,0,0,0.0
2020/21,KK Nair,16,14,2,0,114.29
2020/21,KL Nagarkoti,22,32,1,0,68.75
2020/21,KL Rahul,676,531,58,23,127.31
2020/21,KM Jadhav,62,68,7,0,91.18
2020/21,KS Williamson,317,241,26,10,131.54
2020/21,Kartik Tyagi,4,6,0,0,66.67
2020/21,Kuldeep Yadav,13,21,1,0,61.9
2020/21,LH Ferguson,43,29,4,1,148.28
2020/21,M Ashwin,4,4,0,0,100.0
2020/21,M Prasidh Krishna,2,4,0,0,50.0
2020/21,M Vijay,32,44,4,0,72.73
2020/21,MA Agarwal,432,285,46,15,151.58
2020/21,MK Lomror,59,54,2,3,109.26
2020/21,MK Pandey,425,350,35,18,121.43
2020/21,MM Ali,12,16,1,0,75.0
2020/21,MP Stoinis,352,250,31,16,140.8
2020/21,MR Marsh,0,1,0,0,0.0
2020/21,MS Dhoni,200,175,16,7,114.29
2020/21,Mandeep Singh,130,111,10,4,117.12
2020/21,Mohammad Nabi,11,8,2,0,137.5
2020/21,Mohammed Shami,2,3,0,0,66.67
2020/21,Mohammed Siraj,17,14,2,0,121.43
2020/21,Mujeeb Ur Rahman,1,3,0,0,33.33
2020/21,N Jagadeesan,33,31,4,0,106.45
2020/21,N Pooran,353,215,23,25,164.19
2020/21,N Rana,352,260,43,12,135.38
2020/21,NM Coulter-Nile,25,15,4,0,166.67
2020/21,NS Naik,1,3,0,0,33.33
2020/21,Navdeep Saini,27,27,3,0,100.0
2020/21,P Dubey,7,13,0,0,53.85
2020/21,P Simran Singh,15,15,2,0,100.0
2020/21,PJ Cummins,146,120,9,8,121.67
2020/21,PK Garg,133,116,9,4,114.66
2020/21,PP Shaw,228,170,27,8,134.12
2020/21,Q de Kock,506,368,46,22,137.5
2020/21,R Ashwin,37,34,3,1,108.82
2020/21,R Parag,86,81,6,3,106.17
2020/21,R Tewatia,255,187,13,17,136.36
2020/21,RA Jadeja,232,142,22,11,163.38
2020/21,RA Tripathi,230,186,21,10,123.66
2020/21,RD Chahar,2,4,0,0,50.0
2020/21,RD Gaikwad,204,173,16,6,117.92
2020/21,RG Sharma,334,275,27,19,121.45
2020/21,RK Singh,11,11,1,0,100.0
2020/21,RR Pant,345,319,32,9,108.15
2020/21,RV Uthappa,196,170,19,7,115.29
2020/21,Rashid Khan,35,32,3,2,109.38
2020/21,Ravi Bishnoi,7,12,1,0,58.33
2020/21,S Dhawan,618,433,67,13,142.73
2020/21,S Dube,129,109,5,9,118.35
2020/21,S Gopal,37,41,3,0,90.24
2020/21,S Nadeem,7,8,1,0,87.5
2020/21,SA Yadav,480,340,61,11,141.18
2020/21,SM Curran,186,145,12,12,128.28
2020/21,SN Khan,33,30,5,0,110.0
2020/21,SN Thakur,12,21,0,0,57.14
2020/21,SO Hetmyer,185,127,11,12,145.67
2020/21,SP Goswami,0,5,0,0,0.0
2020/21,SP Narine,121,92,10,8,131.52
2020/21,SPD Smith,311,247,32,9,125.91
2020/21,SR Watson,299,254,33,13,117.72
2020/21,SS Cottrell,0,2,0,0,0.0
2020/21,SS Iyer,519,433,40,16,119.86
2020/21,SS Tiwary,103,81,8,3,127.16
2020/21,SV Samson,375,242,21,26,154.96
2020/21,Sandeep Sharma,12,15,1,0,80.0
2020/21,Shahbaz Ahmed,1,1,0,0,100.0
2020/21,Shivam Mavi,10,14,1,0,71.43
2020/21,Shubman Gill,440,382,44,9,115.18
2020/21,T Banton,18,22,1,1,81.82
2020/21,T Natarajan,3,5,0,0,60.0
2020/21,TA Boult,0,1,0,0,0.0
2020/21,TK Curran,83,63,5,3,131.75
2020/21,TU Deshpande,21,12,2,1,175.0
2020/21,UT Yadav,0,2,0,0,0.0
2020/21,V Kohli,471,402,24,11,117.16
2020/21,V Shankar,97,99,10,1,97.98
2020/21,VR Aaron,1,10,0,0,10.0
2020/21,WP Saha,214,159,24,5,134.59
2020/21,Washington Sundar,111,98,10,2,113.27
2020/21,YBK Jaiswal,40,44,2,2,90.91
2020/21,YS Chahal,1,5,0,0,20.0
2021,AB de Villiers,313,215,23,16,145.58
2021,AD Russell,183,127,14,14,144.09
2021,AF Milne,16,19,0,1,84.21
2021,AK Markram,146,123,12,4,118.7
2021,AM Rahane,8,9,1,0,88.89
2021,AR Patel,40,52,2,1,76.92
2021,AT Rayudu,257,175,16,17,146.86
2021,Abdul Samad,111,89,4,8,124.72
2021,Abhishek Sharma,98,78,7,4,125.64
2021,Anmolpreet Singh,16,14,2,1,114.29
2021,Anuj Rawat,0,1,0,0,0.0
2021,Arshdeep Singh,2,3,0,0,66.67
2021,Avesh Khan,5,3,1,0,166.67
2021,B Kumar,34,32,3,0,106.25
2021,BA Stokes,0,3,0,0,0.0
2021,C Sakariya,16,25,2,0,64.0
2021,CA Lynn,49,36,4,3,136.11
2021,CH Gayle,193,160,21,8,120.62
2021,CH Morris,67,53,2,5,126.42
2021,CJ Jordan,32,21,1,3,152.38
2021,CR Woakes,15,11,2,0,136.36
2021,CV Varun,2,4,0,0,50.0
2021,D Padikkal,411,342,44,14,120.18
2021,DA Miller,124,115,11,3,107.83
2021,DA Warner,197,191,15,6,103.14
2021,DJ Bravo,47,22,3,4,213.64
2021,DJ Hooda,160,125,9,9,128.0
2021,DJ Malan,26,26,1,1,100.0
2021,DL Chahar,1,1,0,0,100.0
2021,DR Sams,6,6,0,0,100.0
2021,DT Christian,14,24,1,0,58.33
2021,E Lewis,151,96,18,7,157.29
2021,EJG Morgan,133,142,8,6,93.66
2021,F du Plessis,633,471,61,23,134.39
2021,FA Allen,6,12,0,0,50.0
2021,GD Phillips,26,33,1,2,78.79
2021,GHS Garton,2,4,0,0,50.0
2021,GJ Maxwell,513,373,48,21,137.53
2021,HH Pandya,127,116,11,5,109.48
2021,HV Patel,59,48,6,2,122.92
2021,Harbhajan Singh,4,4,0,0,100.0
2021,Harpreet Brar,64,61,3,2,104.92
2021,Ishan Kishan,241,182,21,10,132.42
2021,J Suchith,14,6,2,1,233.33
2021,J Yadav,34,26,2,1,130.77
2021,JA Richardson,15,25,2,0,60.0
2021,JC Buttler,254,173,27,13,146.82
2021,JD Unadkat,41,32,3,2,128.12
2021,JDS Neesham,0,2,0,0,0.0
2021,JJ Bumrah,16,17,2,0,94.12
2021,JJ Roy,150,125,21,1,120.0
2021,JM Bairstow,248,179,20,15,138.55
2021,JO Holder,85,73,2,6,116.44
2021,K Rabada,13,6,2,0,216.67
2021,K Yadav,0,4,0,0,0.0
2021,KA Jamieson,65,55,5,3,118.18
2021,KA Pollard,245,180,16,16,136.11
2021,KD Karthik,223,172,22,7,129.65
2021,KH Pandya,143,126,10,6,113.49
2021,KK Ahmed,1,2,0,0,50.0
2021,KL Nagarkoti,0,2,0,0,0.0
2021,KL Rahul,626,465,48,30,134.62
2021,KM Jadhav,55,55,2,2,100.0
2021,KS Bharat,191,161,10,8,118.63
2021,KS Williamson,270,250,30,2,108.0
2021,Kartik Tyagi,2,4,0,0,50.0
2021,LH Ferguson,18,13,1,1,138.46
2021,LS Livingstone,42,43,3,1,97.67
2021,Lalit Yadav,68,75,7,0,90.67
2021,M Ashwin,15,24,1,0,62.5
2021,M Jansen,0,4,0,0,0.0
2021,M Prasidh Krishna,0,1,0,0,0.0
2021,M Shahrukh Khan,153,118,9,10,129.66
2021,M Vohra,42,40,5,2,105.0
2021,MA Agarwal,441,324,42,18,136.11
2021,MC Henriques,31,32,0,1,96.88
2021,MK Lomror,94,76,3,6,123.68
2021,MK Pandey,292,246,21,10,118.7
2021,MM Ali,357,270,31,19,132.22
2021,MP Stoinis,89,74,11,1,120.27
2021,MS Dhoni,114,111,12,3,102.7
2021,Mandeep Singh,15,14,2,0,107.14
2021,Mohammad Nabi,34,22,3,2,154.55
2021,Mohammed Shami,13,17,0,0,76.47
2021,Mohammed Siraj,20,26,1,1,76.92
2021,Mujeeb Ur Rahman,1,1,0,0,100.0
2021,Mustafizur Rahman,8,14,0,1,57.14
2021,N Pooran,85,77,3,5,110.39
2021,N Rana,383,325,34,17,117.85
2021,NM Coulter-Nile,4,5,0,0,80.0
2021,NT Ellis,18,17,0,1,105.88
2021,Navdeep Saini,2,5,0,0,40.0
2021,P Simran Singh,19,23,1,1,82.61
2021,PJ Cummins,93,60,5,8,155.0
2021,PK Garg,72,75,2,3,96.0
2021,PP Chawla,0,2,0,0,0.0
2021,PP Shaw,479,308,56,18,155.52
2021,PWH de Silva,1,2,0,0,50.0
2021,Q de Kock,297,261,29,7,113.79
2021,R Ashwin,44,43,2,1,102.33
2021,R Parag,93,84,6,4,110.71
2021,R Tewatia,155,152,11,6,101.97
2021,RA Jadeja,227,170,19,9,133.53
2021,RA Tripathi,397,285,41,11,139.3
2021,RD Chahar,14,15,1,0,93.33
2021,RD Gaikwad,635,474,64,23,133.97
2021,RG Sharma,381,307,33,14,124.1
2021,RM Patidar,71,65,3,3,109.23
2021,RR Pant,424,343,43,10,123.62
2021,RV Patel,25,29,3,0,86.21
2021,RV Uthappa,115,86,8,5,133.72
2021,Rashid Khan,83,71,9,2,116.9
2021,Ravi Bishnoi,1,5,0,0,20.0
2021,S Dhawan,587,480,63,16,122.29
2021,S Dube,230,205,18,10,112.2
2021,S Gopal,7,5,0,1,140.0
2021,S Kaul,8,8,1,0,100.0
2021,S Nadeem,0,1,0,0,0.0
2021,SA Yadav,317,226,40,10,140.27
2021,SK Raina,160,133,13,9,120.3
2021,SM Curran,56,30,5,3,186.67
2021,SN Khan,0,4,0,0,0.0
2021,SN Thakur,5,6,0,0,83.33
2021,SO Hetmyer,242,153,19,12,158.17
2021,SP Narine,62,51,3,5,121.57
2021,SPD Smith,152,136,13,2,111.76
2021,SS Iyer,175,181,7,5,96.69
2021,SS Tiwary,115,99,10,2,116.16
2021,SV Samson,484,372,45,17,130.11
2021,Sachin Baby,7,17,0,0,41.18
2021,Sandeep Sharma,8,7,1,0,114.29
2021,Shahbaz Ahmed,59,55,4,2,107.27
2021,Shakib Al Hasan,47,50,3,1,94.0
2021,Shivam Mavi,25,21,2,2,119.05
2021,Shubman Gill,478,415,50,12,115.18
2021,T Shamsi,2,4,0,0,50.0
2021,TA Boult,1,4,0,0,25.0
2021,TG Southee,3,5,0,0,60.0
2021,TH David,1,3,0,0,33.33
2021,TK Curran,21,17,2,0,123.53
2021,TL Seifert,2,5,0,0,40.0
2021,V Kohli,405,347,43,9,116.71
2021,V Shankar,58,52,1,3,111.54
2021,VR Iyer,370,299,37,14,123.75
2021,Virat Singh,15,26,1,0,57.69
2021,WP Saha,131,144,7,5,90.97
2021,Washington Sundar,31,48,2,0,64.58
2021,YBK Jaiswal,249,168,32,10,148.21
2021,YS Chahal,10,27,0,0,37.04
2022,A Badoni,161,139,11,7,115.83
2022,A Manohar,108,79,14,3,136.71
2022,A Nortje,1,7,0,0,14.29
2022,A Tomar,4,8,1,0,50.0
2022,AD Russell,335,200,18,32,167.5
2022,AJ Finch,86,70,10,3,122.86
2022,AK Markram,381,277,25,19,137.55
2022,AM Rahane,133,131,14,4,101.53
2022,AR Patel,182,122,12,10,149.18
2022,AS Joseph,5,7,0,0,71.43
2022,AS Roy,0,2,0,0,0.0
2022,AT Rayudu,274,230,25,15,119.13
2022,Abdul Samad,4,7,0,0,57.14
2022,Abhishek Sharma,426,329,47,13,129.48
2022,Akash Deep,0,2,0,0,0.0
2022,Aman Hakim Khan,5,3,1,0,166.67
2022,Anmolpreet Singh,13,13,1,0,100.0
2022,Anuj Rawat,129,123,10,7,104.88
2022,Arshdeep Singh,21,30,3,0,70.0
2022,Avesh Khan,22,13,0,3,169.23
2022,B Indrajith,21,31,2,0,67.74
2022,B Kumar,24,28,3,0,85.71
2022,B Sai Sudharsan,145,118,14,3,122.88
2022,CJ Jordan,11,9,0,0,122.22
2022,CV Varun,12,18,2,0,66.67
2022,D Brevis,161,116,14,11,138.79
2022,D Padikkal,376,317,41,14,118.61
2022,D Pretorius,44,28,3,3,157.14
2022,DA Miller,481,348,32,23,138.22
2022,DA Warner,432,301,52,15,143.52
2022,DJ Bravo,23,26,1,1,88.46
2022,DJ Hooda,451,340,36,18,132.65
2022,DJ Mitchell,33,46,1,0,71.74
2022,DJ Willey,18,32,3,0,56.25
2022,DP Conway,252,176,23,12,143.18
2022,DR Sams,38,40,1,3,95.0
2022,E Lewis,73,60,8,3,121.67
2022,F du Plessis,468,377,49,13,124.14
2022,FA Allen,8,7,1,0,114.29
2022,Fazalhaq Farooqi,2,8,0,0,25.0
2022,GJ Maxwell,301,184,31,15,163.59
2022,HE van der Dussen,22,25,2,0,88.0
2022,HH Pandya,487,387,49,12,125.84
2022,HR Shokeen,43,48,5,0,89.58
2022,HV Patel,43,42,4,2,102.38
2022,Harpreet Brar,22,25,1,2,88.0
2022,Harshit Rana,2,2,0,0,100.0
2022,Ishan Kishan,418,355,45,11,117.75
2022,J Suchith,2,8,0,0,25.0
2022,JC Buttler,863,596,84,45,144.8
2022,JD Unadkat,59,37,4,3,159.46
2022,JDS Neesham,31,27,3,0,114.81
2022,JJ Bumrah,0,9,0,0,0.0
2022,JM Bairstow,253,180,34,9,140.56
2022,JM Sharma,234,149,22,12,157.05
2022,JO Holder,58,46,2,6,126.09
2022,JR Hazlewood,18,27,1,0,66.67
2022,K Gowtham,0,2,0,0,0.0
2022,K Kartikeya,3,6,0,0,50.0
2022,K Rabada,48,47,5,2,102.13
2022,KA Pollard,144,146,6,9,98.63
2022,KD Karthik,330,188,27,22,175.53
2022,KH Pandya,183,150,16,4,122.0
2022,KK Ahmed,0,2,0,0,0.0
2022,KK Nair,16,18,1,0,88.89
2022,KL Rahul,616,472,45,30,130.51
2022,KR Sen,0,3,0,0,0.0
2022,KS Bharat,8,7,2,0,114.29
2022,KS Sharma,4,4,1,0,100.0
2022,KS Williamson,216,235,16,8,91.91
2022,Kartik Tyagi,7,6,1,0,116.67
2022,Kuldeep Yadav,48,54,3,2,88.89
2022,LH Ferguson,5,4,1,0,125.0
2022,LS Livingstone,437,261,29,34,167.43
2022,Lalit Yadav,161,152,11,7,105.92
2022,M Ashwin,12,14,1,1,85.71
2022,M Jansen,9,7,0,1,128.57
2022,M Prasidh Krishna,6,12,0,0,50.0
2022,M Shahrukh Khan,117,118,4,9,99.15
2022,M Theekshana,7,7,0,1,100.0
2022,M Vohra,19,12,1,2,158.33
2022,MA Agarwal,196,167,23,6,117.37
2022,MJ Santner,22,30,3,0,73.33
2022,MK Lomror,86,60,7,4,143.33
2022,MK Pandey,88,84,9,2,104.76
2022,MM Ali,244,183,24,11,133.33
2022,MP Stoinis,156,116,7,13,134.48
2022,MR Marsh,251,192,19,14,130.73
2022,MS Dhoni,232,198,21,10,117.17
2022,MS Wade,157,145,23,2,108.28
2022,Mandeep Singh,18,24,4,0,75.0
2022,Mohammed Siraj,30,33,5,0,90.91
2022,Mohsin Khan,23,19,2,1,121.05
2022,Mukesh Choudhary,6,6,1,0,100.0
2022,Mustafizur Rahman,3,5,0,0,60.0
2022,N Jagadeesan,40,40,3,1,100.0
2022,N Pooran,306,228,16,21,134.21
2022,N Rana,361,259,29,22,139.38
2022,NM Coulter-Nile,1,2,0,0,50.0
2022,NT Ellis,0,2,0,0,0.0
2022,Navdeep Saini,2,2,0,0,100.0
2022,OC McCoy,8,5,0,1,160.0
2022,OF Smith,51,50,1,5,102.0
2022,P Simran Singh,14,11,2,0,127.27
2022,PBB Rajapaksa,206,137,16,13,150.36
2022,PJ Cummins,63,24,5,6,262.5
2022,PJ Sangwan,2,6,0,0,33.33
2022,PK Garg,46,33,4,2,139.39
2022,PN Mankad,4,1,1,0,400.0
2022,PP Shaw,283,193,37,10,146.63
2022,PVD Chameera,43,32,3,3,134.38
2022,PWH de Silva,38,48,4,1,79.17
2022,Q de Kock,508,350,47,23,145.14
2022,R Ashwin,191,140,14,9,136.43
2022,R Dhawan,37,41,4,2,90.24
2022,R Parag,183,136,11,10,134.56
2022,R Powell,250,174,10,22,143.68
2022,R Sanjay Yadav,0,2,0,0,0.0
2022,R Shepherd,58,43,2,5,134.88
2022,R Tewatia,217,156,22,9,139.1
2022,RA Bawa,11,14,1,0,78.57
2022,RA Jadeja,116,105,6,5,110.48
2022,RA Tripathi,413,271,40,20,152.4
2022,RD Chahar,77,70,7,4,110.0
2022,RD Gaikwad,368,298,33,14,123.49
2022,RG Sharma,268,234,28,13,114.53
2022,RK Singh,174,125,17,7,139.2
2022,RM Patidar,333,232,27,18,143.53
2022,RP Meredith,0,1,0,0,0.0
2022,RR Pant,340,234,35,16,145.3
2022,RV Patel,6,3,0,1,200.0
2022,RV Uthappa,230,181,19,14,127.07
2022,Ramandeep Singh,45,42,3,1,107.14
2022,Rashid Khan,91,44,3,9,206.82
2022,Rasikh Salam,7,6,1,0,116.67
2022,Ravi Bishnoi,0,1,0,0,0.0
2022,S Dhawan,460,395,47,12,116.46
2022,S Dube,289,194,22,16,148.97
2022,S Gopal,9,7,2,0,128.57
2022,SA Abbott,7,5,0,1,140.0
2022,SA Yadav,303,210,23,16,144.29
2022,SE Rutherford,33,52,1,1,63.46
2022,SN Khan,91,69,9,2,131.88
2022,SN Thakur,120,90,7,7,133.33
2022,SO Hetmyer,314,221,21,21,142.08
2022,SP Jackson,23,26,0,1,88.46
2022,SP Narine,71,40,6,6,177.5
2022,SS Iyer,401,310,41,11,129.35
2022,SS Prabhudessai,67,62,7,2,108.06
2022,SV Samson,458,321,43,26,142.68
2022,SW Billings,169,143,9,10,118.18
2022,Shahbaz Ahmed,219,197,14,9,111.17
2022,Shashank Singh,69,47,5,4,146.81
2022,Shivam Mavi,3,8,0,0,37.5
2022,Shubman Gill,483,374,51,11,129.14
2022,Simarjeet Singh,7,8,0,0,87.5
2022,T Stubbs,2,4,0,0,50.0
2022,TA Boult,40,30,2,1,133.33
2022,TG Southee,2,12,0,0,16.67
2022,TH David,186,91,12,16,204.4
2022,TL Seifert,24,21,4,0,114.29
2022,TS Mills,0,3,0,0,0.0
2022,Tilak Varma,397,313,29,16,126.84
2022,UT Yadav,55,41,4,4,134.15
2022,Umran Malik,4,8,0,0,50.0
2022,V Kohli,341,306,32,8,111.44
2022,V Shankar,19,36,1,0,52.78
